service	image	manifest_config_digest	archive_sha256	archive_config_digest	revision_label
gateway-bff	crm-system/gateway-bff:66d2531	sha256:5489f7b1b318e70cadd376a8d4fe1b12304550face47f0b4767d374f217db8d0	ff8df342f40d88341ac5606aa0d2ba64d2d5756fde0157511e0ba7b59b9b8c06	sha256:5489f7b1b318e70cadd376a8d4fe1b12304550face47f0b4767d374f217db8d0	66d2531
identity-authz	crm-system/identity-authz:66d2531	sha256:48062d10fdf66bafebb6d66429e6a11a8d4bddb9f0a7025bcc3d5232f9b1cc0e	b174fd05bea4ab871f0d1e1acc8fd489796bb298a73fe34aa779afc192ef4104	sha256:48062d10fdf66bafebb6d66429e6a11a8d4bddb9f0a7025bcc3d5232f9b1cc0e	66d2531
lead	crm-system/lead:66d2531	sha256:2abbe4dee4bac17f99b1f5fc4e759567f2ee8d006eb37407e056bcd799e81285	32a821e405120be8eef5cfc50e367dc2af68c46a718f61fb09a52172f2daaefd	sha256:2abbe4dee4bac17f99b1f5fc4e759567f2ee8d006eb37407e056bcd799e81285	66d2531
account	crm-system/account:66d2531	sha256:51eea5dcba34414a332e69b411fd2ffc5cb66f38a704b420afcf8438f616d305	c4ccf8f2bbd8184bf479b7fc0914dbcafa09148e094b5ed14529777470286d86	sha256:51eea5dcba34414a332e69b411fd2ffc5cb66f38a704b420afcf8438f616d305	66d2531
opportunity	crm-system/opportunity:66d2531	sha256:12ab76de435a78607bc935622f929f70f06629d6efb168c4a216739c79f8a5cd	ed40020f2687f222f1f98d3de8f066f1b5572abca4c4792eeab153941f8150d6	sha256:12ab76de435a78607bc935622f929f70f06629d6efb168c4a216739c79f8a5cd	66d2531
commercial	crm-system/commercial:66d2531	sha256:bd5539d5208b21c4ef0cb9d390f1dd03930952fa11847a4e9d1ab229ecde3f10	720fe9655674b233adf839a7475e476574e41adf3cef9901807b2116b9527bb4	sha256:bd5539d5208b21c4ef0cb9d390f1dd03930952fa11847a4e9d1ab229ecde3f10	66d2531
work	crm-system/work:66d2531	sha256:e3ed50ce1544827164a39d9ba31711bd7c7ca843e07d5db9c4a833051c7063fa	5fa4d8e017c583070eddcbfe54739df3764dea7c378529aea698b30a7577b653	sha256:e3ed50ce1544827164a39d9ba31711bd7c7ca843e07d5db9c4a833051c7063fa	66d2531
audit-history	crm-system/audit-history:66d2531	sha256:62c48c32552752b094f9e275b2e72245e27827bb3a9d653c68e5d9da61cdf1ed	991ed9f77b94408dc00c84263fa5a33c6161f721cf9ec748c7eed1c2e54c2a49	sha256:62c48c32552752b094f9e275b2e72245e27827bb3a9d653c68e5d9da61cdf1ed	66d2531
reporting	crm-system/reporting:66d2531	sha256:3fc7166ba44b99aa7b491e5a7fcf9bc18f59b3037e1062a9684198dbf39a33e3	2f729dfff9dfaf45c3ed6a01228b7ffde9a4a2598f1f5afee24008340dca9118	sha256:3fc7166ba44b99aa7b491e5a7fcf9bc18f59b3037e1062a9684198dbf39a33e3	66d2531
import-export	crm-system/import-export:66d2531	sha256:5f5d3518d8031bdae6e7fcad7c509f98a2d00aac103cc56be9b05025187e4ade	6f572a5a03eff92bba9918a003deea07d074c566a690dd05f0f26391727df5e3	sha256:5f5d3518d8031bdae6e7fcad7c509f98a2d00aac103cc56be9b05025187e4ade	66d2531
frontend-web	crm-system/frontend-web:66d2531	sha256:54474a5561d706b3b9168b53d20a6b5d69a9dbf9edd484e9aa069e4649628e9e	b18ab26a52889411dba7b381748a08875e91cd5412d8215add22594e9351d5cb	sha256:54474a5561d706b3b9168b53d20a6b5d69a9dbf9edd484e9aa069e4649628e9e	66d2531
